Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
1994,II,Saiga tatarica,Mammalia,Artiodactyla,Bovidae,Saiga,US,CN,,4,,horn products,,,W
1994,II,Saiga tatarica,Mammalia,Artiodactyla,Bovidae,Saiga,US,RU,,6,,trophies,,,U
1994,II,Saiga tatarica,Mammalia,Artiodactyla,Bovidae,Saiga,US,RU,,5,,trophies,,,W
1994,II,Saiga tatarica,Mammalia,Artiodactyla,Bovidae,Saiga,US,VN,CN,2,,horn products,,,W
1995,II,Saiga tatarica,Mammalia,Artiodactyla,Bovidae,Saiga,AT,RU,KZ,,1,trophies,,H,W
1995,II,Saiga tatarica,Mammalia,Artiodactyla,Bovidae,Saiga,CA,US,RU,,1,trophies,,T,U
1995,II,Saiga tatarica,Mammalia,Artiodactyla,Bovidae,Saiga,DK,RU,KZ,,6,trophies,,H,W
1995,II,Saiga tatarica,Mammalia,Artiodactyla,Bovidae,Saiga,FR,RU,KZ,,1,trophies,,H,W
1995,II,Saiga tatarica,Mammalia,Artiodactyla,Bovidae,Saiga,HK,CN,,,1100,derivatives,boxes,T,W
1995,II,Saiga tatarica,Mammalia,Artiodactyla,Bovidae,Saiga,HK,CN,,,12,derivatives,cartons,T,W
1995,II,Saiga tatarica,Mammalia,Artiodactyla,Bovidae,Saiga,HK,MY,XX,,948.4,horns,kg,T,U
1995,II,Saiga tatarica,Mammalia,Artiodactyla,Bovidae,Saiga,IT,RU,,,1,trophies,,P,W
1995,II,Saiga tatarica,Mammalia,Artiodactyla,Bovidae,Saiga,JP,CN,,,399,derivatives,cartons,T,W
1995,II,Saiga tatarica,Mammalia,Artiodactyla,Bovidae,Saiga,JP,CN,,116,,derivatives,,T,W
1995,II,Saiga tatarica,Mammalia,Artiodactyla,Bovidae,Saiga,JP,SG,XX,,100,horns,kg,T,O
1995,II,Saiga tatarica,Mammalia,Artiodactyla,Bovidae,Saiga,JP,SG,XX,1150,,horns,kg,T,W
1995,II,Saiga tatarica,Mammalia,Artiodactyla,Bovidae,Saiga,KR,JP,XX,,1000,horns,kg,T,W
1995,II,Saiga tatarica,Mammalia,Artiodactyla,Bovidae,Saiga,MO,CN,,,50,derivatives,cartons,T,W
1995,II,Saiga tatarica,Mammalia,Artiodactyla,Bovidae,Saiga,MY,SG,XX,,900.2,horns,kg,T,O
1995,II,Saiga tatarica,Mammalia,Artiodactyla,Bovidae,Saiga,MY,SG,XX,,40.6,horns,kg,T,W
1995,II,Saiga tatarica,Mammalia,Artiodactyla,Bovidae,Saiga,NZ,XX,,11,,derivatives,bags,,I
1995,II,Saiga tatarica,Mammalia,Artiodactyla,Bovidae,Saiga,RU,US,XX,,1,specimens,,,U
1995,II,Saiga tatarica,Mammalia,Artiodactyla,Bovidae,Saiga,SG,HK,RU,260,,horns,kg,T,O
1995,II,Saiga tatarica,Mammalia,Artiodactyla,Bovidae,Saiga,SG,HK,UA,100,,horns,kg,T,O
1995,II,Saiga tatarica,Mammalia,Artiodactyla,Bovidae,Saiga,SG,HK,XX,200,,horns,kg,T,U
1995,II,Saiga tatarica,Mammalia,Artiodactyla,Bovidae,Saiga,SG,HK,XX,3030,,horns,kg,T,W
1995,II,Saiga tatarica,Mammalia,Artiodactyla,Bovidae,Saiga,SG,RU,KZ,3500,4200,horns,kg,T,W
1995,II,Saiga tatarica,Mammalia,Artiodactyla,Bovidae,Saiga,US,CN,,66,,derivatives,,,W
1995,II,Saiga tatarica,Mammalia,Artiodactyla,Bovidae,Saiga,US,KR,XX,5000,,derivatives,,T,W
1995,II,Saiga tatarica,Mammalia,Artiodactyla,Bovidae,Saiga,US,RU,KZ,,15,trophies,,H,W
1995,II,Saiga tatarica,Mammalia,Artiodactyla,Bovidae,Saiga,US,RU,XX,3,,trophies,,,W
1995,II,Saiga tatarica,Mammalia,Artiodactyla,Bovidae,Saiga,US,RU,,,11,specimens,,S,W
1995,II,Saiga tatarica,Mammalia,Artiodactyla,Bovidae,Saiga,US,RU,,6,,trophies,,,W
1996,II,Saiga tatarica,Mammalia,Artiodactyla,Bovidae,Saiga,CA,HK,XX,,40,horns,kg,T,O
1996,II,Saiga tatarica,Mammalia,Artiodactyla,Bovidae,Saiga,CA,US,XX,,1,specimens,,S,O
1996,II,Saiga tatarica,Mammalia,Artiodactyla,Bovidae,Saiga,CH,MY,CN,,1,trophies,,P,W
1996,II,Saiga tatarica,Mammalia,Artiodactyla,Bovidae,Saiga,CN,HK,RU,1850,,horns,kg,T,W
1996,II,Saiga tatarica,Mammalia,Artiodactyla,Bovidae,Saiga,CN,HK,XX,,1,horns,kg,T,O
1996,II,Saiga tatarica,Mammalia,Artiodactyla,Bovidae,Saiga,DE,RU,,,2700,horns,kg,T,W
1996,II,Saiga tatarica,Mammalia,Artiodactyla,Bovidae,Saiga,DK,KZ,,7,,skins,,H,W
1996,II,Saiga tatarica,Mammalia,Artiodactyla,Bovidae,Saiga,DK,KZ,,7,,skulls,,H,W
1996,II,Saiga tatarica,Mammalia,Artiodactyla,Bovidae,Saiga,HK,CN,,,100,derivatives,boxes,T,W
1996,II,Saiga tatarica,Mammalia,Artiodactyla,Bovidae,Saiga,HK,CN,,,145,derivatives,cartons,T,W
